Date,Vrms,Irms,Frequency ,Active Power 
01/06/2022,10264,26.937,49.919,483000
02/06/2022,10728,24.8,49.967,462000
03/06/2022,10952,26.5,49.917,507000
04/06/2022,11173,21.375,49.916,411000
05/06/2022,11368,16.35,49.85,324000
06/06/2022,11270,25.975,50.038,504000
07/06/2022,10418,28.137,50.073,507000
08/06/2022,10376,28.875,49.951,519000
09/06/2022,10671,,49.943,381000
10/06/2022,10882,28.162,50.01,525000
11/06/2022,11219,20.075,50.087,384000
12/06/2022,11078,15.575,49.969,297000
13/06/2022,11061,18.862,50.004,360000
14/06/2022,10559,27.812,50.08,504000
15/06/2022,10396,28.587,50.019,516000
16/06/2022,10687,25.625,49.925,468000
17/06/2022,10930,26.1,49.952,492000
18/06/2022,11112,19.85,50.017,375000
19/06/2022,11246,15.362,49.88,294000
20/06/2022,11343,17.475,50.01,336000
21/06/2022,10937,27.275,50.017,504000
22/06/2022,10708,26.95,50.056,501000
23/06/2022,11093,20.512,50.031,396000
24/06/2022,11160,26.412,49.967,507000
25/06/2022,11185,25.637,50.035,489000
26/06/2022,,15.725,49.97,297000
27/06/2022,11112,26.075,50.038,492000
28/06/2022,10517,29.287,50.06,525000
29/06/2022,10185,30.887,49.964,531000
30/06/2022,10649,29.475,49.956,534000
01/07/2022,10991,27.275,50.07,522000
02/07/2022,11145,15.45,49.935,297000
03/07/2022,11324,15.312,49.982,300000
04/07/2022,11207,28.237,50.133,540000
05/07/2022,10192,32.462,49.973,570000
06/07/2022,10565,28.075,50.049,507000
07/07/2022,10784,29.525,50.117,531000
08/07/2022,11203,19.95,50,387000
09/07/2022,11376,18.262,50.017,357000
